Nationality,101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,"110 Agriculture, forestry & food science","111 Earth, marine & environmental sciences",112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,"117 Mineral, metallurgy & materials engineering",118 Civil engineering,"119 Electrical, electronic & computer engineering","120 Mechanical, aero & production engineering","121 IT, systems sciences & computer software engineering",122 Mathematics,"123 Architecture, built environment & planning",124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,"144 Music, dance, drama & performing arts",145 Media studies,Total academic cost centres,Total academic services,Central administration & services,Staff & student facilities,Premises ,Residences & catering ,Total all cost centres
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Mauritius,10,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,80
Mexico,80,0,5,15,5,5,5,5,5,5,20,90,20,30,55,25,5,15,25,25,40,45,20,10,0,5,10,20,20,5,5,10,45,0,20,0,15,0,5,0,5,0,15,5,5,755,0,5,0,0,0,760
"Moldova [Moldova, Republic of]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,10,5,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Myanmar (Burma) [The Republic of the Union of Myanmar],10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Nepal,10,0,15,0,5,0,0,0,0,0,5,5,5,0,5,0,0,0,5,5,20,0,0,5,0,0,5,5,0,0,0,0,45,0,5,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,170
Netherlands,235,5,40,100,15,15,15,15,15,15,45,175,25,75,25,10,10,15,20,15,65,55,30,40,0,10,20,50,35,35,10,35,115,0,35,5,30,25,30,5,15,5,45,40,25,"1,645",5,10,0,0,0,"1,665"
New Zealand,60,0,5,20,5,5,5,5,5,5,10,30,15,20,15,0,0,5,5,5,15,10,5,5,0,5,0,10,10,20,5,5,30,0,10,0,5,15,5,0,5,0,15,10,10,415,0,0,0,0,0,415
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Nigeria,135,5,115,20,45,0,25,5,5,25,25,115,20,15,65,20,5,40,60,85,225,35,90,20,5,5,5,25,40,150,25,20,650,5,40,0,5,5,5,0,0,0,15,5,20,"2,230",5,15,0,0,0,"2,255"
North Macedonia,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Norway,30,0,0,5,0,5,0,0,0,0,0,10,0,5,5,5,5,0,0,0,10,5,0,0,0,0,0,15,5,0,0,5,20,0,0,0,5,0,0,0,5,0,15,15,5,200,0,5,0,0,0,200
"Occupied Palestinian Territories [Palestine, State of]",5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,10,5,5,0,5,0,0,0,0,0,0,0,10,0,10,0,5,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85
Oman,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Pakistan,95,5,20,15,15,5,15,5,5,5,5,70,25,30,75,20,10,30,130,95,310,15,15,10,0,0,5,10,35,15,15,10,375,0,20,0,5,0,0,0,0,0,15,0,5,"1,540",0,5,0,0,0,"1,545"
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
Peru,10,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,5,0,5,0,5,0,0,0,5,5,10,0,0,0,5,0,0,0,10,0,0,0,0,0,5,0,5,95,0,0,0,0,0,95
Philippines,15,0,15,0,0,0,0,0,0,0,0,15,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,5,0,105,0,0,0,0,0,110
"Pitcairn, Henderson, Ducie and Oeno Islands [Pitcairn]",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
Poland,185,5,35,80,10,15,15,5,15,10,25,125,40,60,25,10,5,20,35,40,95,45,30,15,10,5,10,30,25,50,15,25,115,5,35,10,40,40,10,0,5,5,65,30,25,"1,480",15,10,0,0,0,"1,505"
Portugal,205,10,35,65,10,15,15,20,25,10,15,120,15,35,30,20,10,25,20,45,55,35,35,5,0,5,5,15,50,15,10,15,95,5,15,0,45,10,10,0,5,0,50,25,15,"1,275",10,10,0,0,0,"1,290"
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Romania,75,5,10,40,5,5,5,0,10,0,10,50,10,35,20,10,5,5,20,20,85,35,25,0,5,5,5,40,15,15,20,15,70,10,10,0,5,10,0,0,5,0,30,20,15,785,0,5,0,0,0,790
Russia [Russian Federation],55,0,0,20,0,5,5,0,0,0,5,55,30,65,25,10,10,5,30,15,45,85,5,10,10,0,5,20,40,10,0,5,80,0,10,0,35,10,5,0,0,5,15,15,10,765,0,0,0,0,0,770
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,15,0,5,0,0,0,0,0,0,0,0,10,0,10,5,5,0,5,5,5,25,5,0,0,0,0,0,0,0,5,0,0,20,0,5,0,0,5,0,0,0,0,0,0,0,140,0,0,0,0,0,140
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Serbia,10,0,0,5,0,0,0,0,0,0,0,5,0,5,5,0,0,0,10,5,10,5,5,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,5,5,0,105,0,0,0,0,0,105
Serbia and Montenegro not otherwise specified,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
Singapore,55,0,5,10,5,0,5,0,0,0,5,25,0,5,15,10,0,0,5,15,10,5,0,5,0,0,5,10,5,10,5,5,25,0,5,0,5,10,5,0,0,0,10,10,5,295,0,0,0,0,0,295
Slovakia,20,0,5,15,0,0,0,0,5,5,0,20,5,15,5,0,0,0,5,5,15,10,5,5,0,0,0,5,5,5,0,0,20,0,10,0,5,0,0,0,0,0,5,5,0,210,0,0,0,0,0,210
Slovenia,15,0,5,5,0,0,0,5,0,0,0,5,0,10,5,0,0,5,0,0,5,10,5,0,0,0,0,5,5,5,0,0,10,0,0,0,0,5,0,0,0,0,5,5,0,130,0,0,0,0,0,135
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
South Africa,50,5,30,20,10,5,0,15,10,5,10,35,10,5,10,5,0,5,5,5,10,5,15,10,0,0,5,10,5,30,10,10,40,0,25,0,5,10,5,0,5,0,15,20,5,490,0,0,0,0,0,495
Spain,470,20,60,90,15,35,30,15,65,20,60,360,110,130,80,40,15,35,65,90,140,85,95,40,5,20,15,55,70,55,20,40,110,5,45,20,385,35,30,5,10,0,100,75,35,"3,280",15,20,0,0,0,"3,315"
Sri Lanka,35,0,10,5,0,0,0,0,0,5,0,20,5,5,25,5,5,15,20,30,60,5,30,5,0,0,0,0,5,10,0,5,105,0,0,0,0,5,0,0,0,0,5,0,5,430,0,5,0,0,0,435
St Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
St Vincent and The Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Sudan,20,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,75
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,80,5,15,35,5,5,5,0,0,5,15,40,15,25,5,5,0,5,5,5,25,20,10,10,5,10,5,25,20,20,5,15,55,0,10,0,15,5,5,0,15,5,30,20,15,635,0,0,0,0,0,640
Switzerland,60,0,0,20,0,0,5,5,5,0,10,50,15,20,10,5,0,5,5,10,15,35,10,5,0,0,5,10,20,15,0,10,30,0,10,0,20,10,5,5,10,5,25,5,5,490,5,0,0,0,0,495
Syria [Syrian Arab Republic],20,5,5,5,0,0,5,0,0,0,0,10,5,0,10,0,0,5,10,10,20,5,15,5,5,0,5,5,5,5,0,0,30,0,5,0,5,5,0,0,0,0,5,0,0,195,0,0,0,0,0,195
"Taiwan [Taiwan, Province of China]",40,0,5,15,0,5,0,5,0,0,0,25,5,5,5,0,0,0,5,0,10,10,5,5,0,0,0,5,5,5,5,0,35,0,10,0,15,0,0,0,0,0,10,5,5,255,5,0,0,0,0,255
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
"Tanzania [Tanzania, United Republic of]",10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,55
Thailand,20,0,5,5,0,0,5,0,0,0,0,15,15,10,5,5,0,0,0,5,15,5,0,0,0,0,0,0,5,5,0,0,25,0,5,0,5,0,0,0,0,0,5,0,0,180,0,0,0,0,0,180
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,5,5,0,0,0,0,5,0,0,5,15,0,5,0,0,0,0,0,0,0,5,0,0,75,0,0,0,0,0,75
Tunisia,10,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,5,10,10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,60
Turkey,80,0,15,50,10,5,10,0,0,0,5,50,15,25,60,15,10,20,55,80,90,30,40,10,5,0,5,50,70,65,15,35,220,0,45,0,10,10,15,0,5,0,30,10,15,"1,280",0,0,0,0,0,"1,285"
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,25,0,10,0,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,10,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,120
Ukraine,20,0,0,5,5,0,0,0,0,0,0,15,5,20,10,0,5,5,10,10,20,25,0,5,5,0,0,10,10,10,0,5,35,0,0,0,10,5,5,0,0,0,5,5,0,265,0,0,0,0,0,265
Union of Soviet Socialist Republics not otherwise specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
United Kingdom,"18,215","1,445","12,660","7,265","2,475","1,235","1,720","2,815","1,250","1,235","2,440","9,305","2,670","3,400","2,510",655,580,"1,185","2,235","2,950","5,310","2,905","3,530","2,065",200,530,540,"2,145","1,075","5,455","2,780","2,735","12,265",365,"8,485",615,"2,575","3,920","2,475",395,760,550,"8,675","7,030","3,930","159,555","1,400","1,130",340,10,40,"162,470"
United States,355,0,75,270,20,20,10,20,25,10,115,280,35,140,70,20,10,20,30,35,150,160,65,125,35,55,80,250,90,130,40,125,315,5,140,10,125,215,240,35,110,90,180,220,95,"4,650",35,35,0,0,0,"4,720"
Uruguay,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
Vatican City [Holy See (Vatican City State)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela [Venezuela, Bolivarian Republic of]",5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
Vietnam [Viet Nam],15,0,0,5,0,0,0,0,0,5,5,10,5,5,15,10,5,5,15,10,25,10,0,0,0,0,0,5,20,0,0,0,165,0,10,0,5,5,0,0,0,0,5,0,0,355,0,0,0,0,0,355
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40
Zambia,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,60
Zimbabwe,30,0,20,10,10,0,0,5,0,5,5,15,0,0,0,0,0,0,0,5,15,0,5,5,5,0,5,5,5,10,10,5,70,0,5,0,0,0,5,0,0,0,5,0,5,260,0,0,0,0,0,265
Stateless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Not known,480,5,125,60,5,20,20,5,10,20,35,165,40,65,55,5,10,5,10,15,100,40,40,30,20,10,25,40,50,55,15,30,115,0,60,10,50,40,40,10,30,10,70,70,25,"2,140",15,15,0,0,0,"2,170"
Total,"27,420","1,780","14,515","10,210","3,045","1,785","2,465","3,275","1,745","1,640","3,725","15,065","4,425","6,270","5,255","1,550","1,060","2,420","4,705","5,615","10,745","5,810","5,465","3,170",480,825,"1,065","4,190","3,520","7,785","3,500","3,925","21,710",515,"10,365",820,"5,230","5,095","3,610",665,"1,300",830,"10,970","8,600","5,000","243,165","1,765","1,575",370,15,40,"246,930"
