Country,Number,Name,Position,DOB,Age,Club,Height,Foot,Caps,Goals,Debut,MarketValue
Norway,24,Sondre Langås,Centre-Back,02/02/2001,25,Derby County,"1,90m",right,4,-,09/09/2024,€4.00m
Norway,5,David Møller Wolfe,Left-Back,23/04/2002,24,Wolverhampton Wanderers,"1,85m",left,24,1,16/11/2023,€8.00m
Norway,15,Fredrik Bjørkan,Left-Back,21/08/1998,27,FK Bodø/Glimt,"1,80m",left,22,1,06/06/2021,€3.50m
Norway,26,Julian Ryerson,Right-Back,17/11/1997,28,Borussia Dortmund,"1,83m",right,45,1,18/11/2020,€25.00m
Norway,16,Marcus Pedersen,Right-Back,16/07/2000,25,Torino FC,"1,84m",right,34,1,01/09/2021,€3.50m
Norway,8,Sander Berge,Defensive Midfield,14/02/1998,28,Fulham FC,"1,95m",right,68,1,26/03/2017,€25.00m
Norway,6,Patrick Berg,Defensive Midfield,24/11/1997,28,FK Bodø/Glimt,"1,78m",right,46,-,24/03/2021,€8.00m
Norway,14,Fredrik Aursnes,Central Midfield,10/12/1995,30,SL Benfica,"1,81m",right,25,1,06/06/2021,€15.00m
Norway,18,Kristian Thorstvedt,Central Midfield,13/03/1999,27,US Sassuolo,"1,89m",left,39,4,18/11/2020,€12.00m
Norway,2,Morten Thorsby,Central Midfield,05/05/1996,30,US Cremonese,"1,88m",right,32,-,11/11/2017,€2.80m
Norway,10,Martin Ødegaard,Attacking Midfield,17/12/1998,27,Arsenal FC,"1,78m",left,70,5,27/08/2014,€65.00m
Norway,19,Thelo Aasgaard,Attacking Midfield,02/05/2002,24,Rangers FC,"1,88m",right,9,6,22/03/2025,€2.80m
Norway,20,Antonio Nusa,Left Winger,17/04/2005,21,RB Leipzig,"1,83m",right,27,8,07/09/2023,€32.00m
Norway,21,Andreas Schjelderup,Left Winger,01/06/2004,22,SL Benfica,"1,77m",right,15,1,05/06/2024,€30.00m
Norway,23,Jens Petter Hauge,Left Winger,12/10/1999,26,FK Bodø/Glimt,"1,84m",right,16,1,11/10/2020,€12.00m
Norway,22,Oscar Bobb,Right Winger,12/07/2003,22,Fulham FC,"1,77m",left,23,2,12/10/2023,€28.00m
Norway,9,Erling Haaland,Centre-Forward,21/07/2000,25,Manchester City,"1,95m",left,52,59,05/09/2019,€200.00m
Norway,11,Jørgen Strand Larsen,Centre-Forward,06/02/2000,26,Crystal Palace,"1,93m",right,29,6,18/11/2020,€40.00m
Norway,7,Alexander Sørloth,Centre-Forward,05/12/1995,30,Atlético de Madrid,"1,96m",left,74,26,29/05/2016,€18.00m
Belgium,12,Senne Lammens,Goalkeeper,07/07/2002,23,Manchester United,"1,93m",right,2,-,18/11/2025,€35.00m
Belgium,13,Mike Penders,Goalkeeper,31/07/2005,20,RC Strasbourg Alsace,"2,00m",left,-,-,,€25.00m
Belgium,1,Thibaut Courtois,Goalkeeper,11/05/1992,34,Real Madrid,"1,99m",left,112,-,15/11/2011,€15.00m
Belgium,2,Zeno Debast,Centre-Back,24/10/2003,22,Sporting CP,"1,91m",right,26,1,22/09/2022,€28.00m
Belgium,25,Nathan Ngoy,Centre-Back,10/06/2003,23,LOSC Lille,"1,83m",right,6,-,28/03/2026,€25.00m
Belgium,16,Koni De Winter,Centre-Back,12/06/2002,24,AC Milan,"1,91m",right,8,-,23/03/2024,€23.00m
Belgium,3,Arthur Theate,Centre-Back,25/05/2000,26,Eintracht Frankfurt,"1,85m",left,35,1,16/11/2021,€17.00m
Belgium,4,Brandon Mechele,Centre-Back,28/01/1993,33,Club Brugge KV,"1,90m",right,12,1,13/10/2019,€2.80m
Belgium,5,Maxim De Cuyper,Left-Back,22/12/2000,25,Brighton & Hove Albion,"1,82m",left,22,4,05/06/2024,€22.00m
Belgium,18,Joaquin Seys,Left-Back,28/03/2005,21,Club Brugge KV,"1,78m",left,5,-,10/10/2025,€20.00m
Belgium,21,Timothy Castagne,Right-Back,05/12/1995,30,Fulham FC,"1,85m",right,66,2,07/09/2018,€8.00m
Belgium,15,Thomas Meunier,Right-Back,12/09/1991,34,LOSC Lille,"1,90m",right,82,10,14/11/2013,€1.50m
Belgium,24,Amadou Onana,Defensive Midfield,16/08/2001,24,Aston Villa,"1,95m",right,31,1,03/06/2022,€45.00m
Belgium,23,Nicolas Raskin,Defensive Midfield,23/02/2001,25,Rangers FC,"1,78m",right,16,2,20/03/2025,€12.00m
Belgium,6,Axel Witsel,Defensive Midfield,12/01/1989,37,Girona FC,"1,86m",right,138,12,26/03/2008,€1.20m
Belgium,8,Youri Tielemans,Central Midfield,07/05/1997,29,Aston Villa,"1,76m",right,88,13,09/11/2016,€30.00m
Belgium,22,Alexis Saelemaekers,Right Midfield,27/06/1999,27,AC Milan,"1,80m",right,26,3,08/10/2020,€20.00m
Belgium,19,Diego Moreira,Left Midfield,06/08/2004,21,RC Strasbourg Alsace,"1,79m",left,3,-,04/09/2025,€25.00m
Belgium,17,Charles De Ketelaere,Attacking Midfield,10/03/2001,25,Atalanta BC,"1,92m",left,32,6,11/11/2020,€30.00m
Belgium,7,Kevin De Bruyne,Attacking Midfield,28/06/1991,35,SSC Napoli,"1,81m",right,122,38,11/08/2010,€8.00m
Belgium,20,Hans Vanaken,Attacking Midfield,24/08/1992,33,Club Brugge KV,"1,95m",right,37,7,07/09/2018,€5.00m
Belgium,11,Jérémy Doku,Left Winger,27/05/2002,24,Manchester City,"1,73m",right,45,7,05/09/2020,€75.00m
Belgium,10,Leandro Trossard,Left Winger,04/12/1994,31,Arsenal FC,"1,72m",right,54,14,05/09/2020,€18.00m
Belgium,14,Dodi Lukébakio,Right Winger,24/09/1997,28,SL Benfica,"1,84m",left,31,6,11/11/2020,€15.00m
Belgium,26,Matias Fernandez-Pardo,Centre-Forward,03/02/2005,21,LOSC Lille,"1,88m",right,5,-,02/06/2026,€35.00m
Belgium,9,Romelu Lukaku,Centre-Forward,13/05/1993,33,SSC Napoli,"1,90m",left,129,91,03/03/2010,€6.00m
